Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.07.11,01,,,,,,,
2022.07.11,07,,,2.5,,,,
2022.07.11,13,,,,,,,
2022.07.11,19,,,,,,,
2022.07.09,01,,,,,,,
2022.07.09,07,,,1.7,,,,
2022.07.09,13,,,,,,,
2022.07.09,19,,,2.0,,,,
2022.07.08,01,,,,,,,
2022.07.08,07,,,1.7,,,,
2022.07.08,13,,,,,,,
2022.07.08,19,,,2.5,,,,
2022.07.07,01,,,,,,,
2022.07.07,07,,,1.9,,,,
2022.07.07,13,,,,,,,
2022.07.07,19,,,2.2,,,,
2022.07.06,01,,,,,,,
2022.07.06,07,,,2.1,,,,
2022.07.06,13,,,,,,,
2022.07.06,19,,,2.2,,,,
2022.07.05,01,,,,,,,
2022.07.05,07,,,2.1,,,,
2022.07.05,13,,,,,,,
2022.07.05,19,,,2.5,,,,
