Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.12.20,01,,0.013,,0.08,0.04,0.000,,0.002
2021.12.20,07,0.10,0.019,1.0,0.11,0.06,0.001,0.01,0.005
2021.12.20,13,,,,,,,,
2021.12.20,19,,,,,,,,
2021.12.18,01,,0.011,,0.07,0.04,0.000,,0.002
2021.12.18,07,0.07,0.015,0.6,0.10,0.06,0.001,0.01,0.004
2021.12.18,13,,0.024,,0.16,0.09,0.001,,0.009
2021.12.18,19,0.14,0.029,0.9,0.20,0.12,0.001,0.01,0.006
2021.12.17,01,,0.012,,0.07,0.06,0.001,,0.002
2021.12.17,07,0.07,0.020,0.8,0.11,0.06,0.001,0.00,0.003
2021.12.17,13,,0.025,,0.15,0.08,0.001,,0.010
2021.12.17,19,0.07,0.026,1.3,0.18,0.11,0.001,0.01,0.009
2021.12.16,01,,0.011,,0.09,0.05,0.000,,0.003
2021.12.16,07,0.07,0.017,1.3,0.11,0.06,0.001,0.00,0.004
2021.12.16,13,,0.026,,0.13,0.08,0.001,,0.008
2021.12.16,19,0.10,0.029,0.9,0.19,0.12,0.001,0.01,0.006
2021.12.15,01,,0.012,,0.07,0.04,0.000,,0.002
2021.12.15,07,0.07,0.018,1.1,0.09,0.05,0.001,0.00,0.005
2021.12.15,13,,0.022,,0.17,0.10,0.001,,0.009
2021.12.15,19,0.10,0.028,1.6,0.21,0.13,0.001,0.01,0.008
2021.12.14,01,,0.011,,0.09,0.05,0.000,,0.001
2021.12.14,07,0.07,0.015,0.8,0.10,0.06,0.001,0.00,0.004
2021.12.14,13,,0.023,,0.12,0.07,0.001,,0.008
2021.12.14,19,0.10,0.026,1.7,0.18,0.11,0.001,0.01,0.006
