Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.08.18,01,,0.005,,0.13,0.000,,0.005
2021.08.18,07,0.15,,1.2,,0.000,0.042,0.008
2021.08.18,13,,,,,,,
2021.08.18,19,,,,,,,
2021.08.17,01,,"0,007",,"0,15","0,000",,"0,008"
2021.08.17,07,"0,18",,"2,2",,"0,001","0,063","0,009"
2021.08.17,13,,0.022,,0.30,0.002,,0.020
2021.08.17,19,0.19,,3.1,,0.001,0.110,0.015
2021.08.16,01,,0.007,,0.11,0.000,,0.007
2021.08.16,07,0.18,,1.8,,0.001,0.058,0.010
2021.08.16,13,,"0,022",,"0,24","0,002",,"0,020"
2021.08.16,19,"0,19",,"4,2",,"0,001","0,123","0,018"
2021.08.14,01,,0.007,,0.12,0.000,,0.005
2021.08.14,07,0.18,,1.4,,0.001,0.047,0.009
2021.08.14,13,,0.018,,0.26,0.001,,0.021
2021.08.14,19,0.19,,2.9,,0.001,0.102,0.019
2021.08.13,01,,0.005,,0.10,0.000,,0.003
2021.08.13,07,0.18,,1.5,,0.001,0.038,0.007
2021.08.13,13,,0.023,,0.26,0.001,,0.018
2021.08.13,19,0.18,,2.4,,0.002,0.086,0.016
2021.08.12,01,,0.007,,0.12,0.000,,0.004
2021.08.12,07,0.14,,1.6,,0.001,0.042,0.006
2021.08.12,13,,0.022,,0.20,0.002,,0.017
2021.08.12,19,0.19,,2.6,,0.002,0.096,0.015
