Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
31.05.2021,1,,0.000,,0.03,0.002
31.05.2021,7,0.07,0.005,0.1,0.01,0.004
31.05.2021,13,,0.008,,0.02,0.003
31.05.2021,19,0.07,0.006,0.5,0.02,0.002
01.06.2021,1,,0.002,,0.01,0.000
01.06.2021,7,0.07,0.005,0.3,0.01,0.001
01.06.2021,13,,0.008,,0.02,0.003
01.06.2021,19,0.07,0.005,0.3,0.03,0.002
02.06.2021,1,,0.002,,0.00,0.001
02.06.2021,7,0.07,0.005,0.2,0.01,0.002
02.06.2021,13,,0.010,,0.01,0.004
02.06.2021,19,0.07,0.006,0.4,0.02,0.003
03.06.2021,1,,0.002,,0.01,0.001
03.06.2021,7,0.07,0.005,0.2,0.01,0.002
