Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.06.17,01,,,,,,,
2022.06.17,07,,,1.3,,,,
2022.06.17,13,,,,,,,
2022.06.17,19,,,,,,,
2022.06.16,01,,,,,,,
2022.06.16,07,,,0.8,,,,
2022.06.16,13,,,,,,,
2022.06.16,19,,,1.4,,,,
2022.06.15,01,,,,,,,
2022.06.15,07,,,1.3,,,,
2022.06.15,13,,,,,,,
2022.06.15,19,,,1.1,,,,
2022.06.14,01,,,,,,,
2022.06.14,07,,,1.4,,,,
2022.06.14,13,,,,,,,
2022.06.14,19,,,1.7,,,,
2022.06.13,01,,,,,,,
2022.06.13,07,,,2.5,,,,
2022.06.13,13,,,,,,,
2022.06.13,19,,,1.5,,,,
2022.06.11,01,,,,,,,
2022.06.11,07,,,1.5,,,,
2022.06.11,13,,,,,,,
2022.06.11,19,,,2.2,,,,
