Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.04.22,01,,0.022,,0.07,0.04,0.000,,0.001
2022.04.22,07,0.07,0.031,0.9,0.11,0.06,0.004,0.00,0.001
2022.04.22,13,,,,,,,,
2022.04.22,19,,,,,,,,
2022.04.21,01,,0.020,,0.06,0.03,0.000,,0.000
2022.04.21,07,0.10,0.028,1.2,0.09,0.05,0.000,0.01,0.002
2022.04.21,13,,0.038,,0.02,0.09,0.001,,0.003
2022.04.21,19,0.11,0.036,4.0,0.19,0.12,0.001,0.01,0.005
2022.04.20,01,,0.019,,0.08,0.04,0.000,,0.002
2022.04.20,07,0.07,0.029,0.11,0.11,0.07,0.001,0.01,0.000
2022.04.20,13,,0.036,,0.18,0.11,0.001,,0.003
2022.04.20,19,0.11,0.033,1.6,0.25,0.14,0.001,0.01,0.005
2022.04.19,01,,0.020,,0.06,0.04,0.000,,0.002
2022.04.19,07,0.07,0.030,1.2,0.09,0.06,0.001,0.01,0.003
2022.04.19,13,,0.034,,0.17,0.10,0.001,,0.005
2022.04.19,19,0.07,0.033,2.5,0.21,0.13,0.001,0.01,0.002
2022.04.18,01,,0.020,,0.07,0.04,0.000,,0.001
2022.04.18,07,0.07,0.028,3.6,0.09,0.05,0.001,0.01,0.002
2022.04.18,13,,0.036,,0.19,0.11,0.001,,0.004
2022.04.18,19,0.07,0.034,1.7,0.24,0.14,0.001,0.01,0.005
