Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.05.25,01,,,,,,,
2022.05.25,07,,,1.5,,,,
2022.05.25,13,,,,,,,
2022.05.25,19,,,,,,,
2022.05.24,01,,,,,,,
2022.05.24,07,,,1.9,,,,
2022.05.24,13,,,,,,,
2022.05.24,19,,,2.3,,,,
2022.05.23,01,,,,,,,
2022.05.23,07,,,1.8,,,,
2022.05.23,13,,,,,,,
2022.05.23,19,,,1.7,,,,
2022.05.21,01,,,,,,,
2022.05.21,07,,,1.8,,,,
2022.05.21,13,,,,,,,
2022.05.21,19,,,2.9,,,,
2022.05.20,01,,,,,,,
2022.05.20,07,,,1.0,,,,
2022.05.20,13,,,,,,,
2022.05.20,19,,,2.2,,,,
2022.05.19,01,,0.020,,0.08,0.000,,0.003
2022.05.19,07,0.10,,1.4,,0.001,0.023,0.006
2022.05.19,13,,,,,,,
2022.05.19,19,,,1.6,,,,
