Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.08.20,01,,0.005,,0.09,0.000,,0.004
2021.08.20,07,0.11,,1.5,,0.001,0.045,0.010
2021.08.20,13,,,,,,,
2021.08.20,19,,,,,,,
2021.08.19,01,,0.005,,0.12,0.000,,0.003
2021.08.19,07,0.14,,1.1,,0.001,0.036,0.007
2021.08.19,13,,0.002,,0.24,0.002,,0.015
2021.08.19,19,0.11,,2.7,,0.001,0.108,0.012
2021.08.18,01,,0.005,,0.13,0.000,,0.005
2021.08.18,07,0.15,,1.2,,0.000,0.042,0.008
2021.08.18,13,,0.021,,0.31,0.001,,0.013
2021.08.18,19,0.15,,2.2,,0.001,0.095,0.011
2021.08.17,01,,"0,007",,"0,15","0,000",,"0,008"
2021.08.17,07,"0,18",,"2,2",,"0,001","0,063","0,009"
2021.08.17,13,,0.022,,0.30,0.002,,0.020
2021.08.17,19,0.19,,3.1,,0.001,0.110,0.015
2021.08.16,01,,0.007,,0.11,0.000,,0.007
2021.08.16,07,0.18,,1.8,,0.001,0.058,0.010
2021.08.16,13,,"0,022",,"0,24","0,002",,"0,020"
2021.08.16,19,"0,19",,"4,2",,"0,001","0,123","0,018"
