Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.01.28,01,,0.014,,0.07,0.000,,0.004
2022.01.28,07,0.17,,1.9,,0.001,0.043,0.005
2022.01.28,13,,,,,,,
2022.01.28,19,,,,,,,
2022.01.27,01,,0.014,,0.08,0.000,,0.003
2022.01.27,07,0.17,,1.0,,0.001,0.038,0.006
2022.01.27,13,,0.028,,0.23,0.001,,0.011
2022.01.27,19,0.17,,2.4,,0.001,0.093,0.008
2022.01.26,01,,0.016,,0.07,0.000,,0.003
2022.01.26,07,0.17,,1.2,,0.001,0.045,0.005
2022.01.26,13,,0.030,,0.19,0.001,,0.012
2022.01.26,19,0.17,,1.5,,0.001,0.098,0.010
2022.01.25,01,,0.015,,0.06,0.000,,0.002
2022.01.25,07,0.13,,1.6,,0.001,0.041,0.005
2022.01.25,13,,0.028,,0.21,0.001,,0.011
2022.01.25,19,0.17,,1.6,,0.001,0.107,0.009
2022.01.24,01,,0.014,,0.07,0.000,,0.003
2022.01.24,07,0.07,,1.1,,0.001,0.035,0.005
2022.01.24,13,,0.028,,0.18,0.001,,0.009
2022.01.24,19,0.16,,1.8,,0.001,0.086,0.008
