Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.01.25,01,,0.014,,0.06,0.03,0.000,,0.002
2022.01.25,07,0.07,0.021,1.7,0.10,0.08,0.001,0.01,0.003
2022.01.25,13,,,,,,,,
2022.01.25,19,,,,,,,,
2022.01.24,01,,0.012,,0.07,0.04,0.000,,0.002
2022.01.24,07,0.07,0.020,1.3,0.09,0.05,0.001,0.01,0.005
2022.01.24,13,,0.026,,0.15,0.09,0.001,,0.007
2022.01.24,19,0.07,0.028,1.8,0.18,0.11,0.001,0.01,0.004
2022.01.22,01,,0.013,,0.09,0.05,0.000,,0.002
2022.01.22,07,0.07,0.022,1.1,0.10,0.06,0.000,0.01,0.004
2022.01.22,13,,0.025,,0.15,0.09,0.001,,0.009
2022.01.22,19,0.10,0.025,1.4,0.17,0.10,0.001,0.01,0.008
2022.01.21,01,,0.013,,0.08,0.05,0.000,,0.002
2022.01.21,07,0.10,0.020,1.7,0.11,0.06,0.001,0.01,0.005
2022.01.21,13,,0.025,,0.13,0.08,0.001,,0.010
2022.01.21,19,0.07,0.027,2.0,0.18,0.11,0.001,0.01,0.008
2022.01.20,01,,0.011,,0.07,0.04,0.000,,0.003
2022.01.20,07,0.07,0.020,0.7,0.09,0.06,0.001,0.01,0.005
2022.01.20,13,,0.026,,0.17,0.10,0.001,,0.010
2022.01.20,19,0.07,0.025,1.6,0.23,0.14,0.001,0.02,0.006
2022.01.19,01,,0.011,,0.05,0.03,0.000,,0.002
2022.01.19,07,0.07,0.022,0.9,0.09,0.05,0.000,0.01,0.005
2022.01.19,13,,0.025,,0.14,0.09,0.001,,0.009
2022.01.19,19,0.07,0.026,1.6,0.22,0.14,0.001,0.01,0.007
