Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.10.05,01,,0.006,,0.07,0.000,,0.003
2021.10.05,07,0.14,,1.5,,0.001,0.041,0.005
2021.10.05,13,,,,,,,
2021.10.05,19,,,,,,,
2021.10.04,01,,0.005,,0.06,0.000,,0.002
2021.10.04,07,0.14,,2.4,,0.001,0.056,0.005
2021.10.04,13,,0.022,,0.24,0.002,,0.007
2021.10.04,19,0.18,,2.7,,0.001,0.112,0.010
2021.10.02,01,,0.005,,0.07,0.000,,0.002
2021.10.02,07,0.17,,2.3,,0.001,0.039,0.004
2021.10.02,13,,0.019,,0.22,0.001,,0.006
2021.10.02,19,0.18,,2.6,,0.001,0.10,0.010
2021.10.01,01,,0.006,,0.06,0.000,,0.002
2021.10.01,07,0.10,,1.5,,0.001,0.02,0.005
2021.10.01,13,,0.002,,0.20,0.001,,0.008
2021.10.01,19,0.18,,3.9,,0.001,0.11,0.010
2021.09.30,01,,0.006,,0.07,0.000,,0.002
2021.09.30,07,0.17,,1.9,,0.001,0.039,0.004
2021.09.30,13,,0.022,,0.20,0.001,,0.007
2021.09.30,19,0.18,,2.4,,0.001,0.103,0.009
2021.09.29,01,,0.006,,0.08,0.000,,0.002
2021.09.29,07,0.17,,1.5,,0.001,0.038,0.005
2021.09.29,13,,0.022,,0.22,0.001,,0.009
2021.09.29,19,0.17,,1.9,,0.001,0.097,0.010
