Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.05.13,01,,0.018,,0.08,0.04,0.000,,0.002
2022.05.13,07,0.07,0.023,1.2,0.10,0.06,0.01,0.00,0.004
2022.05.13,13,,,,,,,,
2022.05.13,19,,,,,,,,
2022.05.12,01,,0.019,,0.09,0.05,0.000,,0.002
2022.05.12,07,0.07,0.026,0.9,0.12,0.08,0.001,0.01,0.005
2022.05.12,13,,0.030,,0.22,0.14,0.002,,0.013
2022.05.12,19,0.11,0.029,2.1,0.34,0.21,0.001,0.01,0.008
2022.05.11,01,,0.019,,0.08,0.04,0.000,,0.003
2022.05.11,07,0.10,0.025,1.6,0.12,0.07,0.001,0.01,0.006
2022.05.11,13,,0.037,,019,0.12,0.001,,0.011
2022.05.11,19,0.11,0.034,1.7,0.24,0.14,0.001,0.01,0.009
2022.05.10,01,,0.020,,0.09,0.05,0.000,,0.002
2022.05.10,07,0.10,0.028,2.7,0.10,0.06,0.001,0.01,0.005
2022.05.10,13,,0.037,,0.17,0.10,0.001,,0.010
2022.05.10,19,0.07,0.032,2.6,0.22,0.13,0.001,0.01,0.008
2022.05.09,01,,0.019,,0.08,0.04,0.000,,0.002
2022.05.09,07,0.07,0.029,0.8,0.13,0.07,0.001,0.01,0.004
2022.05.09,13,,0.034,,0.19,0.12,0.001,,0.010
2022.05.09,19,0.07,0.032,1.5,0.25,0.001,0.001,0.01,0.009
