Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
21.07.2022,1,,0.002,,0.01,0.000
21.07.2022,7,0.07,0.005,0.2,0.01,0.002
21.07.2022,13,,0.008,,0.02,0.006
21.07.2022,19,0.08,0.007,0.3,0.03,0.004
22.07.2022,1,,0.002,,0.01,0.001
22.07.2022,7,0.07,0.005,0.1,0.02,0.003
22.07.2022,13,,0.008,,0.02,0.007
22.07.2022,19,0.07,0.007,0.2,0.04,0.005
23.07.2022,1,,0.000,,0.00,0.002
23.07.2022,7,0.07,0.005,0.2,0.01,0.004
23.07.2022,13,,0.008,,0.01,0.007
23.07.2022,19,0.08,0.005,0.4,0.02,0.003
25.07.2022,1,,0.002,,0.01,0.000
25.07.2022,7,0.07,0.007,0.1,0.01,0.001
25.07.2022,13,,0.010,,0.02,0.007
25.07.2022,19,0.07,0.005,0.2,0.03,0.003
26.07.2022,1,,0.002,,0.00,0.002
26.07.2022,7,0.07,0.005,0.2,0.01,0.003
