Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.01.17,01,,0.011,,0.06,0.03,0.000,,0.002
2022.01.17,07,0.07,0.022,1.1,0.08,0.04,0.001,0.01,0.006
2022.01.17,13,,,,,,,,
2022.01.17,19,,,,,,,,
2022.01.15,01,,0.009,,0.07,0.04,0.000,,0.002
2022.01.15,07,0.07,0.019,1.6,0.10,0.06,0.001,0.01,0.004
2022.01.15,13,,0.025,,0.15,0.09,0.001,,0.007
2022.01.15,19,0.14,0.026,0.9,0.18,0.11,0.001,0.01,0.005
2022.01.14,01,,0.011,,0.06,0.03,0.000,,0.002
2022.01.14,07,0.10,0.022,1.3,0.10,0.06,0.001,0.01,0.005
2022.01.14,13,,0.027,,0.13,0.07,0.001,,0.008
2022.01.14,19,0.07,0.028,2.3,0.19,0.10,0.001,0.01,0.006
2022.01.13,01,,0.012,,0.04,0.03,0.000,,0.001
2022.01.13,07,0.06,0.020,0.7,0.06,0.04,0.000,0.01,0.002
2022.01.13,13,,0.025,,0.14,0.08,0.001,,0.009
2022.01.13,19,0.07,0.023,1.6,0.18,0.11,0.001,0.01,0.007
2022.01.12,01,,0.014,,0.05,0.03,0.000,,0.001
2022.01.12,07,0.09,0.023,0.5,0.07,0.04,0.000,0.01,0.003
2022.01.12,13,,0.026,,0.12,0.07,0.001,,0.007
2022.01.12,19,0.06,0.026,1.9,0.15,0.09,0.001,0.02,0.005
2022.01.11,01,,0.093,,0.06,0.03,0.000,,0.002
2022.01.11,07,0.07,0.022,0.6,0.08,0.05,0.000,0.01,0.005
2022.01.11,13,,0.026,,0.12,0.07,0.001,,0.006
2022.01.11,19,0.07,0.026,0.8,0.17,0.10,0.001,0.01,0.004
