Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.08.29,01,,0.008,,0.07,0.000,,0.005
2022.08.29,07,0.14,,0.7,,0.001,0.044,0.009
2022.08.29,13,,,,,,,
2022.08.29,19,,,,,,,
2022.08.27,01,,0.007,,0.06,0.000,,0.004
2022.08.27,07,0.11,,1.1,,0.001,0.048,0.006
2022.08.27,13,,0.023,,0.14,0.001,,0.015
2022.08.27,19,0.19,,1.1,,0.001,0.120,0.019
2022.08.26,01,,0.013,,0.05,0.000,,0.005
2022.08.26,07,0.15,,1.1,,0.001,0.040,0.008
2022.08.26,13,,0.025,,0.18,0.001,,0.018
2022.08.26,19,0.19,,2.4,,0.001,0.125,0.016
2022.08.25,01,,0.012,,0.07,0.000,,0.004
2022.08.25,07,0.11,,0.8,,0.001,0.050,0.007
2022.08.25,13,,0.022,,0.15,0.002,,0.019
2022.08.25,19,0.19,,2.0,,0.001,0.143,0.017
2022.08.24,01,,0.008,,0.06,0.001,,0.005
2022.08.24,07,0.15,,1.0,,0.001,0.060,0.008
2022.08.24,13,,0.018,,0.17,0.002,,0.018
2022.08.24,19,0.19,,1.5,,0.002,0.114,0.013
2022.08.23,01,,0.013,,0.07,0.000,,0.006
2022.08.23,07,0.15,,1.1,,0.001,0.048,0.009
2022.08.23,13,,0.027,,0.16,0.002,,0.017
2022.08.23,19,0.19,,1.7,,0.001,0.147,0.013
