Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.08.25,01,,0.012,,0.07,0.000,,0.004
2022.08.25,07,0.11,,0.8,,0.001,0.050,0.007
2022.08.25,13,,,,,,,
2022.08.25,19,,,,,,,
2022.08.24,01,,0.008,,0.06,0.001,,0.005
2022.08.24,07,0.15,,1.0,,0.001,0.060,0.008
2022.08.24,13,,0.018,,0.17,0.002,,0.018
2022.08.24,19,0.19,,1.5,,0.002,0.114,0.013
2022.08.23,01,,0.013,,0.07,0.000,,0.006
2022.08.23,07,0.15,,1.1,,0.001,0.048,0.009
2022.08.23,13,,0.027,,0.16,0.002,,0.017
2022.08.23,19,0.19,,1.7,,0.001,0.147,0.013
2022.08.22,01,,0.010,,0.06,0.000,,0.005
2022.08.22,07,0.11,,1.2,,0.001,0.038,0.007
2022.08.22,13,,0.020,,0.13,0.001,,0.014
2022.08.22,19,0.19,,1.6,,0.001,0.112,0.013
2022.08.20,01,,0.007,,0.05,0.000,,0.003
2022.08.20,07,0.11,,1.2,,0.001,0.046,0.007
2022.08.20,13,,0.023,,0.08,0.001,,0.013
2022.08.20,19,0.18,,1.5,,0.001,0.126,0.016
2022.08.19,01,,0.010,,0.06,0.000,,0.003
2022.08.19,07,0.15,,1.9,,0.001,0.051,0.006
2022.08.19,13,,0.018,,0.11,0.001,,0.012
2022.08.19,19,0.15,,2.9,,0.001,0.141,0.015
