Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.05.06,01,,0.020,,0.08,0.05,0.000,,0.001
2022.05.06,07,0.07,0.028,1.0,0.10,0.06,0.001,0.01,0.004
2022.05.06,13,,,,,,,,
2022.05.06,19,,,,,,,,
2022.05.05,01,,0.017,,0.09,0.06,0.001,,0.002
2022.05.05,07,0.07,0.027,1.6,0.12,0.07,0.000,0.01,0.005
2022.05.05,13,,0.037,,0.17,0.10,0.001,,0.010
2022.05.05,19,0.07,0.035,2.5,0.21,0.14,0.001,0.01,0.008
2022.05.04,01,,0.016,,0.07,0.04,0.000,,0.002
2022.05.04,07,0.11,0.023,1.5,0.09,0.06,0.001,0.01,0.004
2022.05.04,13,,0.032,,0.19,0.12,0.001,,0.010
2022.05.04,19,0.07,0.035,2.5,0.24,0.15,0.001,0.02,0.009
2022.05.03,01,,0.021,,0.09,0.05,0.000,,0.002
2022.05.03,07,0.07,0.029,1.4,0.05,0.07,0.001,0.01,0.032
2022.05.03,13,,0.034,,0.17,0.11,0.001,,0.011
2022.05.03,19,0.07,0.039,2.5,0.07,0.04,0.000,0.01,0.007
2022.05.02,01,,0.019,,0.06,0.04,0.000,,0.002
2022.05.02,07,0.10,0.024,1.6,0.10,0.06,0.001,0.01,0.004
2022.05.02,13,,0.039,,0.19,0.12,0.001,,0.007
2022.05.02,19,0.07,0.039,4.1,0.33,0.20,0.001,0.01,0.009
2022.04.30,01,,0.021,,0.06,0.04,0.000,,0.002
2022.04.30,07,0.07,0.028,1.4,0.09,0.06,0.001,0.006,0.005
2022.04.30,13,,0.042,,0.13,0.08,0.001,,0.008
2022.04.30,19,0.07,0.038,1.5,0.17,0.10,0.001,0.01,0.007
