Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.10.25,01,,0.044,,0.14,0.000,,0.003
2021.10.25,07,0.17,,1.3,,0.001,0.030,0.004
2021.10.25,13,,,,,,,
2021.10.25,19,,,,,,,
2021.10.23,01,,0.011,,0.13,0.000,,0.002
2021.10.23,07,0.18,,1.5,,0.001,0.037,0.005
2021.10.23,13,,0.051,,0.21,0.002,,0.011
2021.10.23,19,0.18,,1.8,,0.001,0.098,0.008
2021.10.22,01,,0.015,,0.19,0.001,,0.003
2021.10.22,07,0.18,,1.6,,0.001,0.041,0.006
2021.10.22,13,,0.031,,0.25,0.002,,0.012
2021.10.22,19,0.18,,1.9,,0.002,0.122,0.009
2021.10.21,01,,0.010,,0.09,0.000,,0.004
2021.10.21,07,0.18,,1.5,,0.001,0.058,0.007
2021.10.21,13,,0.032,,0.30,0.002,,0.013
2021.10.21,19,0.18,,2.4,,0.001,0.108,0.010
2021.10.20,01,,0.011,,0.07,0.000,,0.003
2021.10.20,07,0.17,,1.4,,0.001,0.054,0.005
2021.10.20,13,,0.024,,0.21,0.002,,0.012
2021.10.20,19,0.18,,2.2,,0.001,0.115,0.011
2021.10.19,01,,0.009,,0.06,0.000,,0.002
2021.10.19,07,0.17,,1.5,,0.001,0.044,0.006
2021.10.19,13,,0.020,,0.20,0.001,,0.011
2021.10.19,19,0.17,,2.1,,0.001,0.099,0.008
