Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.10.08,01,,0.008,,0.06,0.000,,0.003
2021.10.08,07,0.17,,1.3,,0.000,0.039,0.005
2021.10.08,13,,,,,,,
2021.10.08,19,,,,,,,
2021.10.07,01,,0.008,,0.07,0.000,,0.002
2021.10.07,07,0.13,,1.4,,0.006,0.042,0.005
2021.10.07,13,,0.023,,0.17,0.001,,0.011
2021.10.07,19,0.17,,1.6,,0.001,0.103,0.009
2021.10.06,01,,0.006,,0.06,0.000,,0.002
2021.10.06,07,0.17,,1.5,,0.001,0.037,0.005
2021.10.06,13,,0.022,,0.18,0.001,,0.008
2021.10.06,19,0.18,,1.8,,0.001,0.109,0.010
2021.10.05,01,,0.006,,0.07,0.000,,0.003
2021.10.05,07,0.14,,1.5,,0.001,0.041,0.005
2021.10.05,13,,0.017,,0.21,0.001,,0.009
2021.10.05,19,0.18,,1.9,,0.001,0.099,0.011
2021.10.04,01,,0.005,,0.06,0.000,,0.002
2021.10.04,07,0.14,,2.4,,0.001,0.056,0.005
2021.10.04,13,,0.022,,0.24,0.002,,0.007
2021.10.04,19,0.18,,2.7,,0.001,0.112,0.010
