Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.12.28,01,,0.012,,0.05,0.02,0.000,,0.001
2021.12.28,07,0.07,0.022,0.5,0.07,0.04,0.001,0.01,0.003
2021.12.28,13,,,,,,,,
2021.12.28,19,,,,,,,,
2021.12.27,01,,0.011,,0.05,0.03,0.000,,0.000
2021.12.27,07,0.07,0.022,0.5,0.06,0.04,0.001,0.01,0.002
2021.12.27,13,,0.026,,0.14,0.09,0.001,,0.005
2021.12.27,19,0.10,0.028,0.8,0.17,0.10,0.001,0.01,0.003
2021.12.24,01,,0.012,,0.06,0.03,0.000,,0.001
2021.12.24,07,0.07,0.022,0.6,0.10,0.06,0.001,0.01,0.004
2021.12.24,13,,0.027,,0.15,0.09,0.001,,0.007
2021.12.24,19,0.17,0.027,0.7,0.18,0.11,0.001,0.01,0.005
2021.12.23,01,,0.014,,0.07,0.04,0.000,,0.001
2021.12.23,07,0.06,0.020,0.6,0.09,0.05,0.001,0.01,0.002
2021.12.23,13,,0.025,,0.13,0.08,0.001,,0.006
2021.12.23,19,0.07,0.028,0.9,0.16,0.10,0.001,0.01,0.004
2021.12.22,01,,0.012,,0.06,0.03,0.000,,0.001
2021.12.22,07,0.07,0.019,0.6,0.09,0.05,0.001,0.01,0.004
2021.12.22,13,,0.026,,0.16,0.09,0.001,,0.007
2021.12.22,19,0.07,0.029,0.9,0.18,0.11,0.001,0.01,0.002
