Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.12.06,01,,0.019,,0.07,0.06,0.000,,0.001
2021.12.06,07,0.07,0.022,0.9,0.09,0.07,0.001,0.01,0.004
2021.12.06,13,,,,,,,,
2021.12.06,19,,,,,,,,
2021.12.04,01,,0.016,,0.07,0.04,0.000,,0.002
2021.12.04,07,0.07,0.017,1.4,0.09,0.05,0.001,0.01,0.003
2021.12.04,13,,0.025,,0.15,0.09,0.001,,0.009
2021.12.04,19,0.10,0.029,1.4,0.20,0.12,0.001,0.01,0.006
2021.12.03,01,,0.014,,0.06,0.04,0.000,,0.002
2021.12.03,07,0.10,0.019,1.3,0.10,0.06,0.001,0.01,0.004
2021.12.03,13,,0.022,,0.15,0.09,0.001,,0.009
2021.12.03,19,0.14,0.020,1.3,0.19,0.12,0.001,0.01,0.008
2021.12.02,01,,0.017,,0.07,0.04,0.000,,0.002
2021.12.02,07,0.10,0.020,1.6,0.09,0.06,0.001,0.01,0.005
2021.12.02,13,,0.027,,0.15,0.09,0.001,,0.010
2021.12.02,19,0.07,0.028,1.5,0.18,0.11,0.001,0.01,0.007
2021.12.01,01,,0.016,,0.05,0.03,0.000,,0.001
2021.12.01,07,0.07,0.019,1.2,0.06,0.04,0.001,0.01,0.004
2021.12.01,13,,0.023,,0.16,0.10,0.001,,0.010
2021.12.01,19,0.10,0.027,1.8,0.21,0.14,0.001,0.01,0.006
2021.11.30,01,,0.017,,0.05,0.03,0.000,,0.002
2021.11.30,07,0.07,0.022,1.2,0.06,0.03,0.001,0.01,0.003
2021.11.30,13,,0.027,,0.09,0.06,0.001,,0.009
2021.11.30,19,0.07,0.032,2.1,0.15,0.09,0.001,0.01,0.006
