Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.06.24,01,,0.010,,0.15,0.001,,0.005
2021.06.24,07,0.18,,2.7,,0.002,0.088,0.008
2021.06.24,13,,,,,,,
2021.06.24,19,,,,,,,
2021.06.23,01,,0.008,,0.16,0.001,,0.006
2021.06.23,07,0.18,,2.5,,0.002,0.079,0.008
2021.06.23,13,,0.024,,0.30,0.003,,0.015
2021.06.23,19,0.19,,3.8,,0.002,0.130,0.014
2021.06.22,01,,0.010,,0.10,0.000,,0.005
2021.06.22,07,0.18,,1.7,,0.001,0.050,0.007
2021.06.22,13,,0.022,,0.30,0.002,,0.014
2021.06.22,19,0.19,,3.6,,0.002,0.123,0.013
2021.06.19,01,,0.010,,0.11,0.000,,0.004
2021.06.19,07,0.14,,1.6,,0.001,0.054,0.006
2021.06.19,13,,0.025,,0.25,0.002,,0.013
2021.06.19,19,0.19,,1.9,,0.001,0.103,0.012
2021.06.18,01,,0.010,,0.09,0.000,,0.005
2021.06.18,07,0.18,,2.0,,0.001,0.048,0.007
2021.06.18,13,,0.027,,0.22,0.002,,0.013
2021.06.18,19,0.18,,3.3,,0.001,0.097,0.011
