Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.02.02,01,,0.014,,0.05,0.000,,0.004
2022.02.02,07,0.17,,1.13,0.05,0.001,0.025,0.006
2022.02.02,13,,,,,,,
2022.02.02,19,,,,,,,
2022.02.01,01,,0.014,,0.06,0.000,,0.003
2022.02.01,07,0.17,,0.9,,0.001,0.029,0.006
2022.02.01,13,,0.028,,0.21,0.001,,0.013
2022.02.01,19,0.17,,1.7,,0.001,0.088,0.009
2022.01.31,01,,0.013,,0.07,0.000,,0.002
2022.01.31,07,0.14,,0.8,,0.001,0.040,0.005
2022.01.31,13,,0.026,,0.19,0.001,,0.011
2022.01.31,19,0.17,,1.5,,0.001,0.081,0.009
2022.01.29,01,,0.016,,0.06,0.000,,0.003
2022.01.29,07,0.17,,1.0,,0.001,0.032,0.006
2022.01.29,13,,0.028,,0.15,0.001,,0.012
2022.01.29,19,0.17,,1.2,,0.001,0.093,0.013
2022.01.28,01,,0.014,,0.07,0.000,,0.004
2022.01.28,07,0.17,,1.9,,0.001,0.043,0.005
2022.01.28,13,,0.028,,0.21,0.001,,0.010
2022.01.28,19,0.17,,2.4,,0.001,0.102,0.009
2022.01.27,01,,0.014,,0.08,0.000,,0.003
2022.01.27,07,0.17,,1.0,,0.001,0.038,0.006
2022.01.27,13,,0.028,,0.23,0.001,,0.011
2022.01.27,19,0.17,,2.4,,0.001,0.093,0.008
