Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
14.07.2022,1,,0.002,,0.01,0.000
14.07.2022,7,0.07,0.005,0.4,0.01,0.001
14.07.2022,13,,0.008,,0.02,0.003
14.07.2022,19,0.08,0.007,0.3,0.03,0.003
15.07.2022,1,,0.002,,0.01,0.002
15.07.2022,7,0.07,0.007,0.2,0.02,0.003
15.07.2022,13,,0.008,,0.02,0.005
15.07.2022,19,0.07,0.005,0.3,0.03,0.004
16.07.2022,1,,0.002,,0.01,0.001
16.07.2022,7,0.07,0.005,0.2,0.01,0.002
16.07.2022,13,,0.008,,0.02,0.006
16.07.2022,19,0.07,0.007,0.3,0.02,0.003
18.07.2022,1,,0.002,,0.01,0.002
18.07.2022,7,0.07,0.005,0.2,0.02,0.004
