Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.10.13,01,,0.006,,0.07,0.04,0.000,,0.004
2021.10.13,07,0.11,0.014,1.8,0.10,0.06,0.001,0.00,0.006
2021.10.13,13,,,,,,,,
2021.10.13,19,,,,,,,,
2021.10.12,01,,0.011,,0.04,0.02,0.000,,0.003
2021.10.12,07,0.07,0.017,1.6,0.07,0.04,0.001,0.00,0.006
2021.10.12,13,,0.022,,0.14,0.08,0.001,,0.009
2021.10.12,19,0.07,0.019,2.8,0.21,0.13,0.001,0.01,0.006
2021.10.11,01,,0.006,,0.08,0.05,0.000,,0.002
2021.10.11,07,0.10,0.014,1.5,0.10,0.06,0.000,0.00,0.005
2021.10.11,13,,0.022,,0.11,0.07,0.001,,0.012
2021.10.11,19,0.11,0.021,2.6,0.16,0.10,0.001,0.01,0.008
2021.10.09,01,,0.006,,0.09,0.05,0.000,,0.002
2021.10.09,07,0.07,0.017,1.1,0.10,0.06,0.001,0.00,0.005
2021.10.09,13,,0.020,,0.12,0.07,0.001,,0.011
2021.10.09,19,0.14,0.019,1.5,0.17,0.11,0.001,0.01,0.006
